segment_id,stroke_id,segment_type,point_index,x,y,z,rx,ry,rz,speed_mm_s,arc_enabled,voltage,current,tag
98c841c7,4a989067,travel,0,82,12.5,115,-180,0,-135,80,0,0,0,travel
98c841c7,4a989067,travel,1,82,12.5,115,-180,0,-135,80,0,0,0,travel
a6bf908a,4a989067,lead_in,0,82,12.5,105,-180,0,-135,30,1,24,150,lead_in
a6bf908a,4a989067,lead_in,1,82.3029,12.1022,105,-180,0,-135,30,1,24,150,lead_in
a6bf908a,4a989067,lead_in,2,82.6058,11.7044,105,-180,0,-135,30,1,24,150,lead_in
a6bf908a,4a989067,lead_in,3,82.9087,11.3066,105,-180,0,-135,30,1,24,150,lead_in
a6bf908a,4a989067,lead_in,4,83.2116,10.9088,105,-180,0,-135,30,1,24,150,lead_in
a6bf908a,4a989067,lead_in,5,83.5146,10.511,105,-180,0,-135,30,1,24,150,lead_in
a6bf908a,4a989067,lead_in,6,83.8175,10.1132,105,-180,0,-135,30,1,24,150,lead_in
8d846068,4a989067,weld,0,82,12.5,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,1,81.407,13.2788,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,2,80.8139,14.0576,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,3,80.2209,14.8364,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,4,79.6279,15.6152,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,5,79.0349,16.394,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,6,78.4418,17.1728,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,7,77.8488,17.9516,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,8,77.2558,18.7304,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,9,76.6627,19.5092,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,10,76.0697,20.288,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,11,75.4767,21.0668,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,12,74.8837,21.8456,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,13,74.2906,22.6244,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,14,73.6976,23.4031,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,15,73.1046,24.1819,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,16,72.5115,24.9607,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,17,71.9185,25.7395,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,18,71.3255,26.5183,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,19,70.7325,27.2971,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,20,70.1394,28.0759,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,21,69.5464,28.8547,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,22,68.9534,29.6335,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,23,68.3603,30.4123,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,24,67.7673,31.1911,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,25,67.1743,31.9699,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,26,66.5813,32.7487,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,27,65.9882,33.5275,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,28,65.3952,34.3063,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,29,64.8022,35.0851,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,30,64.2091,35.8639,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,31,63.6161,36.6427,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,32,63.0231,37.4215,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,33,62.4301,38.2003,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,34,61.837,38.9791,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,35,61.244,39.7579,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,36,60.651,40.5367,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,37,60.0579,41.3155,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,38,59.4649,42.0943,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,39,58.8719,42.8731,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,40,58.2789,43.6519,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,41,57.6858,44.4307,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,42,57.0928,45.2094,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,43,56.4998,45.9882,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,44,55.9067,46.767,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,45,55.3137,47.5458,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,46,54.7207,48.3246,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,47,54.1277,49.1034,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,48,53.5346,49.8822,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,49,52.9416,50.661,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,50,52.3486,51.4398,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,51,51.7556,52.2186,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,52,51.1625,52.9974,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,53,50.5695,53.7762,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,54,49.9765,54.555,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,55,49.3834,55.3338,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,56,48.7904,56.1126,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,57,48.1974,56.8914,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,58,47.6044,57.6702,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,59,47.0113,58.449,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,60,46.4183,59.2278,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,61,45.8253,60.0066,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,62,45.2322,60.7854,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,63,44.6392,61.5642,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,64,44.0462,62.343,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,65,43.4532,63.1218,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,66,42.8601,63.9006,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,67,42.2671,64.6794,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,68,41.6741,65.4582,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,69,41.081,66.2369,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,70,40.488,67.0157,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,71,39.895,67.7945,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,72,39.302,68.5733,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,73,38.7089,69.3521,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,74,38.1159,70.1309,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,75,37.5229,70.9097,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,76,36.9298,71.6885,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,77,36.3368,72.4673,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,78,35.7438,73.2461,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,79,35.1508,74.0249,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,80,34.5577,74.8037,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,81,33.9647,75.5825,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,82,33.3717,76.3613,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,83,32.7786,77.1401,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,84,32.1856,77.9189,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,85,31.5926,78.6977,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,86,30.9996,79.4765,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,87,30.4065,80.2553,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,88,29.8135,81.0341,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,89,29.2205,81.8129,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,90,28.6274,82.5917,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,91,28.0344,83.3705,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,92,27.4414,84.1493,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,93,26.8484,84.9281,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,94,27.8226,85.1573,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,95,29.489,85.1439,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,96,31.1555,85.1305,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,97,32.8219,85.117,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,98,34.4884,85.1036,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,99,36.1548,85.0901,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,100,37.8213,85.0767,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,101,39.4877,85.0633,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,102,41.1542,85.0498,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,103,42.8206,85.0364,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,104,44.4871,85.023,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,105,46.1535,85.0095,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,106,47.4983,84.7711,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,107,48.0634,83.9871,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,108,48.6284,83.2031,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,109,49.1934,82.4191,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,110,49.7585,81.6351,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,111,50.3235,80.8512,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,112,50.8885,80.0672,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,113,51.4536,79.2832,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,114,52.0186,78.4992,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,115,52.5836,77.7152,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,116,53.1487,76.9312,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,117,53.7137,76.1473,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,118,54.2787,75.3633,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,119,54.8438,74.5793,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,120,55.4088,73.7953,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,121,55.9738,73.0113,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,122,56.5389,72.2273,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,123,57.1039,71.4434,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,124,57.6689,70.6594,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,125,58.2339,69.8754,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,126,58.799,69.0914,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,127,59.364,68.3074,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,128,59.929,67.5234,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,129,60.4941,66.7395,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,130,61.8243,66.5,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,131,63.4909,66.5,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,132,65.1576,66.5,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,133,66.8243,66.5,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,134,68.4909,66.5,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,135,70.1576,66.5,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,136,71.8243,66.5,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,137,73.4909,66.5,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,138,75.1576,66.5,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,139,76.8243,66.5,105,-180,0,-135,30,1,24,150,weld
8d846068,4a989067,weld,140,78.4909,66.5,105,-180,0,-135,30,1,24,150,weld
